timestamp,park,ride,wait_time,is_open
2026-07-06 19:18:58,Islands of Adventure,The Incredible Hulk Coaster®,15,True
2026-07-06 19:18:58,Islands of Adventure,The Incredible Hulk Coaster® Single Rider,0,True
2026-07-06 19:18:58,Islands of Adventure,Caro-Seuss-el™,5,True
2026-07-06 19:18:58,Islands of Adventure,If I Ran The Zoo™,0,False
2026-07-06 19:18:58,Islands of Adventure,"One Fish, Two Fish, Red Fish, Blue Fish™",5,True
2026-07-06 19:18:58,Islands of Adventure,The Cat in The Hat™,10,True
2026-07-06 19:18:58,Islands of Adventure,The High in the Sky Seuss Trolley Train Ride!™,5,True
2026-07-06 19:18:58,Islands of Adventure,Flight of the Hippogriff™,20,True
2026-07-06 19:18:58,Islands of Adventure,Hagrid's Magical Creatures Motorbike Adventure™,70,True
2026-07-06 19:18:58,Islands of Adventure,Harry Potter and the Forbidden Journey™,20,True
2026-07-06 19:18:58,Islands of Adventure,Harry Potter and the Forbidden Journey™ Single Rider,0,True
2026-07-06 19:18:58,Islands of Adventure,Hogwarts Express™ - Hogsmeade™ Station,35,True
2026-07-06 19:18:58,Islands of Adventure,Ollivanders™ Experience in Hogsmeade™,15,True
2026-07-06 19:18:58,Islands of Adventure,Dudley Do-Right's Ripsaw Falls®,65,True
2026-07-06 19:18:58,Islands of Adventure,"Me Ship, The Olive®",0,False
2026-07-06 19:18:58,Islands of Adventure,Popeye & Bluto's Bilge-Rat Barges®,20,True
2026-07-06 19:18:58,Universal Studios Florida,Trolls Trollercoaster,5,True
2026-07-06 19:18:58,Universal Studios Florida,E.T. Adventure™,40,True
2026-07-06 19:18:58,Universal Studios Florida,Despicable Me Minion Mayhem™,30,True
2026-07-06 19:18:58,Universal Studios Florida,Illumination's Villain-Con Minion Blast,5,True
2026-07-06 19:18:58,Universal Studios Florida,Race Through New York Starring Jimmy Fallon™,5,True
2026-07-06 19:18:58,Universal Studios Florida,Revenge of the Mummy™,25,True
2026-07-06 19:18:58,Universal Studios Florida,Revenge of the Mummy™ Single Rider,0,True
2026-07-06 19:18:58,Universal Studios Florida,TRANSFORMERS™ The Ride-3D,35,True
2026-07-06 19:18:58,Universal Studios Florida,Fast & Furious - Supercharged™,25,True
2026-07-06 19:18:58,Universal Studios Florida,Fast & Furious - Supercharged™ Single Rider,0,True
2026-07-06 19:18:58,Universal Studios Florida,Harry Potter and the Escape from Gringotts™,30,True
2026-07-06 19:18:58,Universal Studios Florida,Harry Potter and the Escape from Gringotts™ Single Rider,0,True
2026-07-06 19:18:58,Universal Studios Florida,Hogwarts Express™ - King's Cross Station,0,False
2026-07-06 19:18:58,Universal Studios Florida,Hogwarts™ Express - First Train,0,False
2026-07-06 19:18:58,Universal Studios Florida,Hogwarts™ Express - Last Train,0,False
2026-07-06 19:18:58,Universal Studios Florida,Ollivanders™ Experience in Diagon Alley™,5,True
2026-07-06 19:18:58,Universal Studios Florida,Kang & Kodos' Twirl 'n' Hurl,10,True
2026-07-06 19:18:58,Universal Studios Florida,MEN IN BLACK™ Alien Attack!™,45,True
2026-07-06 19:18:58,Universal Studios Florida,MEN IN BLACK™ Alien Attack!™ Single Rider,0,True
2026-07-06 19:18:58,Universal Studios Florida,The Simpsons Ride™,45,True
2026-07-06 19:18:58,Epic Universe,Constellation Carousel,20,True
2026-07-06 19:18:58,Epic Universe,Stardust Racers,20,True
2026-07-06 19:18:58,Epic Universe,Stardust Racers Single Rider,0,True
2026-07-06 19:18:58,Epic Universe,Curse of the Werewolf,50,True
2026-07-06 19:18:58,Epic Universe,Curse of the Werewolf Single Rider,0,True
2026-07-06 19:18:58,Epic Universe,Monsters Unchained: The Frankenstein Experiment,15,True
2026-07-06 19:18:58,Epic Universe,Monsters Unchained: The Frankenstein Experiment Single Rider,0,True
2026-07-06 19:18:58,Epic Universe,Dragon Racer's Rally,20,True
2026-07-06 19:18:58,Epic Universe,Fyre Drill,45,True
2026-07-06 19:18:58,Epic Universe,Hiccup's Wing Gliders,25,True
2026-07-06 19:18:58,Epic Universe,Meet Toothless and Friends,60,True
2026-07-06 19:18:58,Epic Universe,Bowser Jr. Challenge,15,True
2026-07-06 19:18:58,Epic Universe,Mario Kart™: Bowser's Challenge,100,True
2026-07-06 19:18:58,Epic Universe,Mario Kart™: Bowser's Challenge Single Rider,0,True
2026-07-06 19:18:58,Epic Universe,Mine-Cart Madness™,95,True
2026-07-06 19:18:58,Epic Universe,Mine-Cart Madness™ Single Rider,0,True
2026-07-06 19:18:58,Epic Universe,Yoshi's Adventure™,30,True
2026-07-06 19:18:58,Epic Universe,Harry Potter and the Battle at the Ministry™,90,True
2026-07-06 19:18:58,Epic Universe,Harry Potter and the Battle at the Ministry™ Single Rider,0,True
